Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,359,0.00222,0.8579,0.62,0.40
0,360,0.00276,0.8607,0.62,0.40
0,361,0.00267,0.8633,0.72,-0.30
0,362,0.00347,0.8668,0.72,-0.30
0,363,0.00345,0.8703,0.72,-0.30
0,364,0.00314,0.8734,0.72,-0.30
0,365,0.00314,0.8765,0.72,-0.30
0,366,0.00190,0.8784,0.11,0.31
0,367,0.00264,0.8811,0.11,0.31
0,368,0.00189,0.8830,0.11,0.31
0,369,0.00115,0.8841,0.11,0.31
0,370,0.00042,0.8845,0.11,0.31
0,371,-0.00096,0.8836,0.40,-0.36
0,372,0.00051,0.8841,0.40,-0.36
0,373,0.00126,0.8853,0.40,-0.36
0,374,0.00198,0.8873,0.40,-0.36
0,375,0.00271,0.8900,0.40,-0.36
0,376,0.00271,0.8927,0.65,-0.04
0,377,0.00318,0.8959,0.65,-0.04
0,378,0.00297,0.8989,0.65,-0.04
0,379,0.00297,0.9019,0.65,-0.04
0,380,0.00297,0.9048,0.65,-0.04
0,381,0.00263,0.9075,0.56,-0.29
0,382,0.00306,0.9105,0.56,-0.29
0,383,0.00306,0.9136,0.56,-0.29
0,384,0.00306,0.9166,0.56,-0.29
0,385,0.00306,0.9197,0.56,-0.29
0,386,0.00256,0.9223,0.88,-0.10
0,387,0.00297,0.9252,0.88,-0.10
0,388,0.00297,0.9282,0.88,-0.10
0,389,0.00298,0.9312,0.88,-0.10
0,390,0.00298,0.9342,0.88,-0.10
0,391,0.00232,0.9365,0.24,-0.11
0,392,0.00272,0.9392,0.24,-0.11
0,393,0.00272,0.9419,0.24,-0.11
0,394,0.00272,0.9446,0.24,-0.11
0,395,0.00272,0.9474,0.24,-0.11
0,396,0.00106,0.9484,1.00,0.78
0,397,0.00273,0.9511,1.00,0.78
0,398,0.00276,0.9539,1.00,0.78
0,399,0.00278,0.9567,1.00,0.78
0,400,0.00289,0.9596,1.00,0.78
0,401,0.00174,0.9613,0.63,0.00
0,402,0.00289,0.9642,0.63,0.00
0,403,0.00287,0.9671,0.63,0.00
0,404,0.00285,0.9699,0.63,0.00
0,405,0.00300,0.9729,0.63,0.00
0,406,0.00278,0.9757,0.46,-0.04
0,407,0.00299,0.9787,0.46,-0.04
0,408,0.00299,0.9817,0.46,-0.04
0,409,0.00299,0.9847,0.46,-0.04
0,410,0.00299,0.9877,0.46,-0.04
0,411,0.00252,0.9902,0.91,-0.05
0,412,0.00298,0.9932,0.91,-0.05
0,413,0.00298,0.9962,0.91,-0.05
0,414,0.00298,0.9991,0.91,-0.05
0,415,0.00298,1.0021,0.91,-0.05
0,416,0.00245,1.0046,0.49,-0.16
0,417,0.00296,1.0075,0.49,-0.16
0,418,0.00296,1.0105,0.49,-0.16
0,419,0.00296,1.0134,0.49,-0.16
0,420,0.00296,1.0164,0.49,-0.16
0,421,0.00223,1.0186,0.06,0.14
0,422,0.00195,1.0206,0.06,0.14
0,423,0.00122,1.0218,0.06,0.14
0,424,0.00048,1.0223,0.06,0.14
0,425,-0.00024,1.0220,0.06,0.14
0,426,-0.00148,1.0206,1.00,-0.16
0,427,0.00076,1.0213,1.00,-0.16
0,428,0.00150,1.0228,1.00,-0.16
0,429,0.00223,1.0251,1.00,-0.16
0,430,0.00296,1.0280,1.00,-0.16
0,431,0.00247,1.0305,0.73,0.05
0,432,0.00297,1.0334,0.73,0.05
0,433,0.00297,1.0364,0.73,0.05
0,434,0.00297,1.0394,0.73,0.05
0,435,0.00297,1.0423,0.73,0.05
0,436,0.00245,1.0448,0.38,-0.12
0,437,0.00296,1.0478,0.38,-0.12
0,438,0.00296,1.0507,0.38,-0.12
0,439,0.00296,1.0537,0.38,-0.12
0,440,0.00296,1.0566,0.38,-0.12
0,441,0.00268,1.0593,0.29,-0.30
0,442,0.00310,1.0624,0.29,-0.30
0,443,0.00310,1.0655,0.29,-0.30
0,444,0.00309,1.0686,0.29,-0.30
0,445,0.00309,1.0717,0.29,-0.30
0,446,0.00275,1.0744,0.49,-0.17
0,447,0.00293,1.0774,0.49,-0.17
0,448,0.00293,1.0803,0.49,-0.17
0,449,0.00293,1.0832,0.49,-0.17
0,450,0.00293,1.0862,0.49,-0.17
0,451,0.00268,1.0889,0.66,-0.09
0,452,0.00294,1.0918,0.66,-0.09
0,453,0.00293,1.0947,0.66,-0.09
0,454,0.00293,1.0977,0.66,-0.09
0,455,0.00293,1.1006,0.66,-0.09
0,456,0.00239,1.1030,0.15,-0.12
0,457,0.00173,1.1047,0.15,-0.12
0,458,0.00155,1.1063,0.15,-0.12
0,459,0.00155,1.1078,0.15,-0.12
0,460,0.00154,1.1093,0.15,-0.12
0,461,0.00079,1.1101,-0.34,0.14
0,462,0.00007,1.1102,-0.34,0.14
0,463,-0.00142,1.1088,-0.34,0.14
0,464,-0.00290,1.1059,-0.34,0.14
0,465,-0.00439,1.1015,-0.34,0.14
0,466,-0.00715,1.0943,0.50,-0.30
0,467,-0.00437,1.0900,0.50,-0.30
0,468,-0.00288,1.0871,0.50,-0.30
0,469,-0.00140,1.0857,0.50,-0.30
0,470,0.00009,1.0858,0.50,-0.30
0,471,0.00103,1.0868,0.03,-0.37
0,472,0.00069,1.0875,0.03,-0.37
0,473,-0.00007,1.0874,0.03,-0.37
0,474,-0.00084,1.0866,0.03,-0.37
0,475,-0.00159,1.0850,0.03,-0.37
0,476,-0.00276,1.0822,0.39,-0.08
0,477,-0.00063,1.0816,0.39,-0.08
0,478,0.00035,1.0820,0.39,-0.08
0,479,0.00111,1.0831,0.39,-0.08
0,480,0.00187,1.0850,0.39,-0.08
0,481,0.00184,1.0868,0.19,-0.66
0,482,0.00258,1.0894,0.19,-0.66
